payment_id,order_id,payment_method,bank,payment_status,failure_reason,amount,payment_time
167,192,UPI,Axis,success,,4969,2024-01-23 00:08:00
168,193,Wallet,SBI,failed,insufficient_funds,5310,2024-02-20 00:02:00
169,194,Wallet,SBI,success,,3166,2024-01-05 00:09:00
170,195,Card,ICICI,success,,5207,2024-01-10 00:01:00
171,196,UPI,ICICI,success,,1092,2024-02-16 00:08:00
172,197,UPI,HDFC,success,,2710,2024-02-09 00:08:00
173,198,UPI,HDFC,success,,5913,2024-01-19 00:03:00
174,200,UPI,Axis,success,,2610,2024-01-15 00:01:00
175,201,Card,SBI,success,,675,2024-01-19 00:04:00
176,202,Wallet,SBI,success,,4320,2024-01-04 00:03:00
177,203,UPI,SBI,success,,4917,2024-02-04 00:02:00
178,204,Wallet,Axis,success,,4430,2024-02-06 00:06:00
179,205,UPI,HDFC,success,,3246,2024-01-12 00:03:00
180,207,UPI,ICICI,success,,1333,2024-01-16 00:07:00
181,208,Card,ICICI,success,,1640,2024-02-09 00:02:00
182,209,Card,SBI,failed,insufficient_funds,2404,2024-01-21 00:04:00
183,210,UPI,SBI,success,,834,2024-02-24 00:08:00
184,211,Wallet,ICICI,success,,4969,2024-01-20 00:03:00
185,212,Card,SBI,success,,5023,2024-02-29 00:01:00
186,213,UPI,Axis,failed,network,4715,2024-02-27 00:05:00
187,214,UPI,Axis,success,,4147,2024-02-19 00:07:00
188,215,Card,SBI,success,,1486,2024-01-22 00:05:00
189,217,UPI,HDFC,success,,2843,2024-01-05 00:06:00
190,218,UPI,Axis,failed,network,5166,2024-01-08 00:01:00
191,219,Card,ICICI,failed,bank_decline,3686,2024-01-08 00:02:00
192,220,UPI,ICICI,success,,1865,2024-02-02 00:01:00
193,221,Card,HDFC,success,,4843,2024-01-27 00:03:00
194,222,UPI,HDFC,success,,5984,2024-01-30 00:03:00
195,223,Card,HDFC,success,,3848,2024-01-28 00:04:00
196,224,UPI,Axis,success,,4686,2024-02-09 00:06:00
197,225,Wallet,ICICI,success,,546,2024-02-20 00:02:00
198,228,UPI,ICICI,success,,1383,2024-02-27 00:01:00
199,229,UPI,HDFC,success,,1088,2024-02-21 00:01:00
200,230,Card,ICICI,success,,1627,2024-01-10 00:03:00
201,231,Card,ICICI,success,,2157,2024-02-09 00:04:00
202,232,UPI,Axis,success,,984,2024-01-13 00:02:00
203,233,Card,HDFC,success,,4795,2024-02-06 00:05:00
204,234,UPI,SBI,success,,1818,2024-02-12 00:05:00
205,235,UPI,ICICI,success,,3910,2024-02-24 00:09:00
206,236,UPI,SBI,success,,2813,2024-02-09 00:07:00
207,237,UPI,ICICI,success,,3014,2024-02-20 00:01:00
208,238,Wallet,SBI,success,,3305,2024-01-23 00:07:00
209,239,Card,Axis,success,,3649,2024-02-24 00:03:00
210,240,Card,SBI,success,,1250,2024-02-26 00:03:00
211,242,Wallet,ICICI,success,,5423,2024-02-23 00:04:00
212,243,Wallet,ICICI,success,,1369,2024-01-23 00:02:00
213,244,UPI,ICICI,success,,4696,2024-02-10 00:09:00
214,246,UPI,Axis,success,,1450,2024-01-12 00:06:00
215,247,Card,ICICI,success,,1133,2024-02-05 00:06:00
216,249,Card,SBI,success,,5317,2024-01-12 00:09:00
217,250,UPI,Axis,success,,754,2024-01-27 00:02:00
218,251,Wallet,HDFC,success,,1880,2024-01-14 00:06:00
219,252,Card,ICICI,success,,1711,2024-01-16 00:09:00
220,253,UPI,ICICI,success,,3870,2024-02-22 00:07:00
221,254,UPI,HDFC,success,,5033,2024-01-29 00:09:00
222,255,Wallet,Axis,success,,3012,2024-02-27 00:01:00
223,256,UPI,ICICI,success,,5320,2024-01-12 00:09:00
224,257,Card,ICICI,success,,4074,2024-02-22 00:06:00
225,258,Wallet,ICICI,success,,4158,2024-01-15 00:06:00
226,260,UPI,SBI,success,,5187,2024-01-28 00:05:00
227,261,UPI,Axis,failed,network,5722,2024-01-08 00:02:00
228,262,UPI,Axis,failed,bank_decline,2058,2024-02-01 00:06:00
229,263,UPI,SBI,success,,1319,2024-02-25 00:01:00
230,264,Card,HDFC,failed,bank_decline,758,2024-01-25 00:01:00
231,265,UPI,HDFC,success,,4153,2024-02-04 00:07:00
232,266,Wallet,Axis,success,,647,2024-01-12 00:01:00
233,267,UPI,HDFC,success,,3778,2024-02-29 00:05:00
234,269,Wallet,Axis,success,,2577,2024-01-31 00:06:00
235,270,Wallet,Axis,failed,network,2963,2024-02-28 00:04:00
236,271,Card,SBI,success,,3129,2024-02-27 00:05:00
237,272,UPI,ICICI,success,,1411,2024-01-09 00:02:00
238,273,UPI,SBI,success,,3600,2024-02-21 00:07:00
239,274,Wallet,ICICI,success,,777,2024-01-25 00:01:00
240,275,Card,ICICI,success,,1423,2024-02-23 00:02:00
241,276,UPI,SBI,success,,5704,2024-01-20 00:08:00
242,278,Wallet,Axis,success,,2477,2024-01-15 00:02:00
243,279,UPI,ICICI,success,,1781,2024-02-23 00:01:00
244,280,Wallet,Axis,success,,4107,2024-02-05 00:05:00
245,281,UPI,SBI,success,,1279,2024-01-26 00:02:00
246,282,Card,Axis,success,,2808,2024-02-06 00:03:00
247,283,Card,SBI,failed,network,3073,2024-02-18 00:06:00
248,285,Card,SBI,failed,insufficient_funds,4366,2024-01-11 00:06:00
249,286,UPI,HDFC,success,,3125,2024-01-27 00:03:00
250,287,Card,Axis,success,,3748,2024-02-08 00:03:00
251,288,Card,ICICI,success,,3104,2024-01-21 00:07:00
252,289,Card,HDFC,success,,3927,2024-02-22 00:06:00
253,290,UPI,HDFC,failed,timeout,3164,2024-01-06 00:01:00
254,291,UPI,ICICI,success,,3165,2024-01-11 00:05:00
255,292,Card,Axis,success,,4393,2024-02-15 00:07:00
256,294,UPI,SBI,success,,2528,2024-02-25 00:06:00
257,295,Wallet,HDFC,success,,2788,2024-01-11 00:04:00
258,296,Card,HDFC,failed,insufficient_funds,1006,2024-02-20 00:01:00
259,297,UPI,Axis,failed,timeout,2551,2024-02-14 00:07:00
260,298,Card,SBI,success,,5663,2024-01-08 00:04:00
261,299,UPI,SBI,success,,1460,2024-01-19 00:04:00
262,300,UPI,SBI,success,,3446,2024-02-01 00:05:00
263,301,Card,ICICI,success,,561,2024-01-26 00:07:00
264,303,Wallet,ICICI,success,,504,2024-02-06 00:09:00
265,305,UPI,Axis,failed,bank_decline,5692,2024-02-22 00:04:00
266,306,Card,SBI,success,,4770,2024-02-03 00:01:00
267,307,Wallet,ICICI,failed,bank_decline,513,2024-02-16 00:03:00
268,308,Wallet,SBI,failed,insufficient_funds,5638,2024-01-16 00:07:00
269,309,UPI,SBI,success,,4467,2024-02-02 00:07:00
270,310,UPI,ICICI,success,,4378,2024-02-04 00:02:00
271,311,UPI,ICICI,success,,5173,2024-01-10 00:06:00
272,312,Card,SBI,success,,3345,2024-02-05 00:03:00
273,313,UPI,ICICI,success,,2739,2024-01-23 00:07:00
274,314,Card,HDFC,success,,4212,2024-02-24 00:01:00
275,315,UPI,HDFC,success,,4922,2024-02-17 00:02:00
276,316,UPI,HDFC,success,,3509,2024-02-10 00:06:00
277,317,UPI,SBI,success,,1106,2024-01-04 00:09:00
278,318,Card,HDFC,success,,2918,2024-01-19 00:02:00
279,319,UPI,Axis,success,,5264,2024-02-29 00:04:00
280,321,Card,SBI,failed,bank_decline,2351,2024-02-11 00:05:00
281,322,UPI,ICICI,failed,network,1438,2024-02-11 00:02:00
282,323,Card,ICICI,success,,3006,2024-01-14 00:08:00
283,326,UPI,HDFC,success,,1556,2024-02-23 00:03:00
284,328,Wallet,SBI,success,,3385,2024-02-06 00:04:00
285,329,Wallet,Axis,success,,5626,2024-02-15 00:09:00
286,330,Card,SBI,failed,insufficient_funds,2301,2024-01-18 00:05:00
287,331,UPI,HDFC,success,,5868,2024-01-08 00:03:00
288,332,Wallet,HDFC,success,,2503,2024-01-10 00:07:00
289,333,Card,ICICI,success,,5692,2024-01-31 00:01:00
290,334,Wallet,ICICI,success,,2602,2024-02-04 00:03:00
291,335,Card,ICICI,success,,2932,2024-02-24 00:04:00
292,336,Wallet,HDFC,failed,network,3934,2024-01-25 00:08:00
293,337,Card,ICICI,success,,2348,2024-01-25 00:06:00
294,338,UPI,Axis,success,,4250,2024-02-09 00:03:00
295,339,Wallet,ICICI,success,,4227,2024-02-16 00:09:00
296,340,UPI,SBI,success,,1064,2024-02-15 00:08:00
297,341,Wallet,ICICI,success,,4686,2024-01-03 00:01:00
298,342,Wallet,ICICI,success,,4060,2024-01-15 00:05:00
299,344,Card,SBI,success,,857,2024-01-21 00:01:00
300,345,UPI,ICICI,success,,4028,2024-02-27 00:09:00
301,346,Card,Axis,failed,insufficient_funds,2477,2024-02-02 00:02:00
302,348,UPI,SBI,success,,1526,2024-01-27 00:04:00
303,349,Wallet,ICICI,success,,1550,2024-01-14 00:01:00
304,352,Card,ICICI,success,,809,2024-02-10 00:04:00
305,353,Card,ICICI,success,,1392,2024-01-10 00:09:00
306,354,Wallet,ICICI,success,,1067,2024-01-24 00:05:00
307,355,UPI,ICICI,failed,timeout,1127,2024-01-10 00:05:00
308,356,UPI,HDFC,failed,network,2157,2024-01-31 00:02:00
309,357,UPI,HDFC,success,,4555,2024-02-08 00:06:00
310,358,UPI,HDFC,success,,2085,2024-02-16 00:01:00
311,359,UPI,Axis,failed,timeout,4701,2024-02-27 00:01:00
312,360,Card,HDFC,success,,3403,2024-01-28 00:04:00
313,361,UPI,HDFC,success,,1863,2024-01-04 00:07:00
314,362,Wallet,ICICI,success,,2830,2024-02-19 00:05:00
315,363,UPI,Axis,success,,3983,2024-02-17 00:03:00
316,364,UPI,SBI,success,,4567,2024-01-19 00:09:00
317,365,Wallet,SBI,success,,3924,2024-02-09 00:09:00
318,366,UPI,Axis,success,,2989,2024-01-16 00:03:00
319,367,UPI,ICICI,success,,4210,2024-02-01 00:09:00
320,368,Card,SBI,success,,4417,2024-01-06 00:03:00
321,370,UPI,HDFC,success,,5350,2024-01-10 00:06:00
322,372,UPI,HDFC,success,,1746,2024-02-14 00:02:00
323,375,Card,Axis,success,,1362,2024-01-08 00:02:00
324,376,UPI,SBI,failed,insufficient_funds,5709,2024-02-10 00:06:00
325,377,UPI,ICICI,success,,3809,2024-02-08 00:05:00
326,378,Card,HDFC,success,,4793,2024-01-05 00:05:00
327,379,UPI,Axis,failed,timeout,5862,2024-01-30 00:07:00
328,380,Card,ICICI,success,,1934,2024-01-08 00:01:00
329,381,UPI,ICICI,failed,timeout,3475,2024-01-29 00:06:00
330,382,Card,HDFC,success,,5807,2024-01-03 00:09:00
331,383,UPI,ICICI,success,,1122,2024-01-13 00:05:00
332,384,UPI,Axis,success,,4369,2024-02-21 00:07:00
333,385,UPI,SBI,success,,4297,2024-01-27 00:03:00
334,386,Card,HDFC,success,,4556,2024-02-20 00:08:00
335,387,Card,Axis,failed,timeout,3064,2024-01-12 00:01:00
336,388,UPI,ICICI,failed,insufficient_funds,887,2024-02-20 00:07:00
337,389,UPI,HDFC,success,,976,2024-02-09 00:06:00
338,390,UPI,ICICI,success,,636,2024-02-20 00:06:00
339,391,Wallet,HDFC,success,,2154,2024-01-06 00:01:00
340,392,Card,ICICI,failed,network,3033,2024-02-08 00:02:00
341,394,Wallet,ICICI,success,,552,2024-01-15 00:06:00
342,395,Card,HDFC,success,,3771,2024-02-15 00:02:00
343,396,Wallet,SBI,failed,insufficient_funds,5566,2024-02-16 00:04:00
344,397,Card,Axis,success,,4321,2024-02-28 00:06:00
345,398,UPI,Axis,failed,network,3411,2024-01-08 00:02:00
346,399,Card,Axis,success,,5011,2024-02-09 00:06:00
347,401,Card,Axis,success,,2233,2024-02-21 00:09:00
348,402,UPI,SBI,success,,2522,2024-01-24 00:06:00
349,403,UPI,Axis,success,,652,2024-02-01 00:07:00
350,405,UPI,HDFC,success,,577,2024-02-07 00:03:00
351,406,Card,HDFC,success,,5219,2024-02-24 00:04:00
352,407,Card,SBI,failed,network,997,2024-01-03 00:04:00
353,408,UPI,Axis,success,,1099,2024-02-17 00:01:00
354,409,UPI,ICICI,failed,insufficient_funds,1202,2024-02-04 00:09:00
355,410,UPI,Axis,success,,535,2024-01-13 00:09:00
356,411,UPI,ICICI,success,,5850,2024-02-28 00:07:00
357,412,UPI,ICICI,success,,3416,2024-02-27 00:02:00
358,413,Card,SBI,success,,1252,2024-02-16 00:03:00
359,414,Card,HDFC,success,,989,2024-02-11 00:07:00
360,415,Card,Axis,success,,5174,2024-02-10 00:01:00
361,417,Wallet,ICICI,success,,1432,2024-01-15 00:03:00
362,418,UPI,HDFC,success,,5124,2024-01-26 00:04:00
363,420,UPI,Axis,success,,4748,2024-02-29 00:05:00
364,421,UPI,SBI,success,,1928,2024-01-25 00:07:00
365,423,Card,SBI,success,,4470,2024-01-19 00:09:00
366,424,UPI,Axis,failed,timeout,2522,2024-01-09 00:02:00
367,425,Card,Axis,failed,insufficient_funds,2602,2024-02-04 00:06:00
368,426,Card,SBI,success,,5798,2024-02-14 00:02:00
369,427,UPI,ICICI,success,,1306,2024-02-05 00:02:00
370,428,Card,ICICI,success,,824,2024-02-01 00:05:00
371,429,Card,HDFC,success,,2671,2024-01-03 00:05:00
372,430,Card,ICICI,success,,3569,2024-01-05 00:01:00
373,431,UPI,HDFC,success,,2031,2024-02-29 00:08:00
374,432,UPI,HDFC,success,,5390,2024-02-21 00:08:00
375,433,UPI,Axis,success,,1166,2024-02-10 00:01:00
376,434,Wallet,SBI,success,,3824,2024-01-18 00:06:00
377,435,UPI,HDFC,success,,1280,2024-02-11 00:09:00
378,436,UPI,Axis,failed,insufficient_funds,4459,2024-02-25 00:05:00
379,437,UPI,ICICI,success,,778,2024-02-20 00:07:00
380,438,Card,ICICI,success,,4148,2024-01-15 00:06:00
381,439,Card,HDFC,success,,3173,2024-01-25 00:01:00
382,440,UPI,HDFC,success,,5839,2024-01-18 00:03:00
383,442,Wallet,HDFC,success,,3138,2024-01-22 00:07:00
384,443,Card,ICICI,failed,bank_decline,1499,2024-01-24 00:08:00
385,444,UPI,HDFC,success,,4314,2024-02-04 00:07:00
386,445,Card,HDFC,success,,4429,2024-01-22 00:01:00
387,446,Card,HDFC,success,,994,2024-01-27 00:03:00
388,447,Card,SBI,failed,timeout,3286,2024-01-02 00:02:00
389,448,UPI,SBI,success,,5476,2024-01-11 00:04:00
390,449,UPI,ICICI,failed,network,2280,2024-02-27 00:03:00
391,452,Card,SBI,success,,3714,2024-01-07 00:09:00
392,453,UPI,ICICI,success,,5713,2024-01-19 00:06:00
393,454,Card,SBI,success,,566,2024-02-06 00:06:00
394,457,UPI,SBI,success,,5624,2024-02-16 00:06:00
395,459,UPI,SBI,failed,insufficient_funds,5291,2024-01-01 00:09:00
396,460,Card,ICICI,success,,1854,2024-01-17 00:09:00
397,461,Card,ICICI,success,,561,2024-01-10 00:09:00
398,462,Wallet,HDFC,success,,1438,2024-02-05 00:04:00
399,464,Card,SBI,success,,4110,2024-01-17 00:06:00
400,465,Card,ICICI,failed,timeout,5328,2024-02-11 00:09:00
401,466,UPI,HDFC,success,,1267,2024-02-13 00:06:00
402,467,Card,Axis,failed,timeout,3804,2024-02-12 00:08:00
403,468,UPI,Axis,success,,4596,2024-01-03 00:08:00
404,469,Wallet,Axis,success,,4385,2024-02-20 00:05:00
405,471,Card,Axis,success,,3371,2024-01-22 00:03:00
406,472,UPI,ICICI,success,,2739,2024-01-30 00:06:00
407,473,Card,ICICI,failed,network,3163,2024-02-19 00:05:00
408,474,Card,HDFC,success,,600,2024-02-05 00:03:00
409,475,Card,Axis,success,,3797,2024-01-05 00:06:00
410,476,Wallet,ICICI,success,,4975,2024-01-03 00:04:00
411,478,Card,HDFC,failed,network,2976,2024-01-17 00:06:00
412,479,UPI,SBI,success,,1455,2024-02-18 00:07:00
413,480,Card,SBI,failed,network,517,2024-02-23 00:01:00
414,481,UPI,ICICI,success,,3233,2024-02-21 00:06:00
415,482,Wallet,Axis,success,,2580,2024-01-22 00:08:00
416,483,UPI,SBI,failed,timeout,4839,2024-01-27 00:03:00
417,484,UPI,Axis,success,,5886,2024-02-02 00:02:00
418,485,Card,Axis,success,,5328,2024-01-21 00:07:00
419,486,Wallet,SBI,success,,3088,2024-01-01 00:04:00
420,488,UPI,Axis,failed,bank_decline,1085,2024-02-10 00:07:00
421,489,UPI,ICICI,success,,1273,2024-01-06 00:09:00
422,490,Card,HDFC,success,,1074,2024-01-28 00:08:00
423,491,Wallet,SBI,success,,1652,2024-01-12 00:02:00
424,492,Card,Axis,success,,3068,2024-02-14 00:06:00
425,494,UPI,HDFC,failed,insufficient_funds,4906,2024-02-27 00:03:00
426,496,UPI,SBI,success,,3331,2024-02-12 00:02:00
427,497,UPI,ICICI,success,,2461,2024-01-12 00:03:00
428,498,UPI,Axis,success,,2037,2024-02-11 00:07:00
429,499,UPI,ICICI,success,,3153,2024-02-17 00:06:00
430,500,Card,HDFC,failed,insufficient_funds,2284,2024-02-27 00:09:00
431,501,UPI,Axis,success,,5253,2024-02-18 00:03:00
432,502,UPI,ICICI,success,,1328,2024-02-14 00:03:00
