cart_id,user_id,product_id,quantity,cart_value,added_at
154,226,436,1,2499,2024-02-16
155,1026,282,2,4998,2024-02-22
156,1236,330,2,2998,2024-01-31
157,1992,488,1,2499,2024-01-26
158,1751,492,2,4998,2024-01-31
159,1317,384,1,1499,2024-01-08
160,1104,262,1,2499,2024-01-16
161,119,203,1,3999,2024-01-12
162,598,262,2,7998,2024-02-22
163,1855,405,2,7998,2024-02-25
164,568,385,1,2499,2024-01-19
165,942,370,2,1998,2024-02-13
166,575,128,2,1998,2024-02-27
167,8,174,1,1499,2024-01-13
168,1719,412,2,1998,2024-01-01
169,1909,211,2,1998,2024-01-13
170,235,347,1,1499,2024-01-04
171,427,406,1,3999,2024-02-20
172,602,423,2,2998,2024-02-14
173,1640,479,1,999,2024-02-17
174,279,345,1,999,2024-01-31
175,912,157,1,1499,2024-01-08
176,853,239,2,4998,2024-01-27
177,1786,424,1,999,2024-01-08
178,640,461,1,999,2024-02-25
179,360,342,2,2998,2024-02-20
180,1204,423,2,1998,2024-01-24
181,605,391,2,4998,2024-01-22
182,1718,349,2,4998,2024-02-09
183,212,229,1,1499,2024-01-29
184,716,390,2,998,2024-01-09
185,549,224,1,3999,2024-01-17
186,218,455,1,2499,2024-01-01
187,1475,363,2,4998,2024-02-13
188,146,300,2,7998,2024-02-01
189,1083,383,2,2998,2024-01-20
190,641,287,1,999,2024-01-01
191,1427,481,1,1499,2024-01-25
192,1677,459,2,998,2024-02-10
193,1515,143,1,499,2024-01-27
194,1057,109,1,3999,2024-01-23
195,990,104,2,998,2024-01-18
196,1558,456,2,998,2024-02-21
197,411,475,2,7998,2024-01-31
198,1458,274,2,7998,2024-01-28
199,1395,258,1,3999,2024-02-21
200,1741,343,2,7998,2024-02-11
201,1608,128,2,7998,2024-01-21
202,1205,486,1,2499,2024-01-12
203,1724,253,2,1998,2024-02-06
204,1074,194,1,3999,2024-01-24
205,322,101,1,999,2024-02-20
206,1523,434,1,499,2024-02-08
207,1107,191,1,2499,2024-02-18
208,536,155,2,7998,2024-02-02
209,69,335,1,2499,2024-02-20
210,1032,497,2,2998,2024-01-17
211,916,431,1,999,2024-02-28
212,761,114,1,3999,2024-02-02
213,1123,184,2,1998,2024-01-16
214,1858,479,1,999,2024-02-20
215,710,473,2,2998,2024-01-27
216,827,353,1,999,2024-02-10
217,208,320,1,499,2024-02-22
218,815,348,1,999,2024-01-28
219,1956,144,1,1499,2024-02-05
220,898,402,2,2998,2024-01-07
221,1216,119,2,7998,2024-02-03
222,1998,223,1,499,2024-02-23
223,1958,245,2,1998,2024-02-15
224,1396,329,2,2998,2024-02-27
225,26,434,1,1499,2024-01-01
226,507,160,2,1998,2024-01-04
227,148,220,1,999,2024-02-23
228,861,355,2,7998,2024-01-26
229,378,303,1,3999,2024-01-20
230,1540,104,2,998,2024-02-24
231,980,413,1,3999,2024-02-20
232,65,436,2,7998,2024-01-13
233,729,176,2,4998,2024-02-04
234,1934,415,2,1998,2024-01-10
235,803,240,2,7998,2024-01-08
236,629,199,1,2499,2024-01-18
237,597,307,2,4998,2024-01-17
238,1844,395,1,3999,2024-01-05
239,279,294,2,2998,2024-01-30
240,366,279,2,7998,2024-01-31
241,1812,357,2,7998,2024-02-08
242,1882,294,2,1998,2024-02-21
243,499,238,1,1499,2024-01-24
244,1819,110,1,499,2024-01-17
245,169,365,2,7998,2024-02-22
246,462,127,2,7998,2024-02-03
247,420,218,1,999,2024-02-12
248,1924,494,2,998,2024-02-04
249,1562,348,2,4998,2024-01-15
250,876,106,2,2998,2024-02-23
251,40,242,1,499,2024-01-11
252,1532,106,1,3999,2024-02-03
253,1744,154,1,2499,2024-01-08
254,363,486,2,1998,2024-01-15
255,1511,119,1,3999,2024-02-05
256,84,479,2,1998,2024-02-27
257,1262,102,1,1499,2024-02-24
258,344,119,1,999,2024-02-06
259,1482,365,2,998,2024-01-23
260,1730,326,2,998,2024-02-08
261,509,445,1,1499,2024-01-26
262,841,449,1,1499,2024-02-03
263,338,317,1,1499,2024-01-11
264,1022,264,1,499,2024-02-23
265,874,439,2,7998,2024-01-12
266,862,150,2,998,2024-01-08
267,1795,472,1,999,2024-02-15
268,1728,269,1,1499,2024-01-08
269,1821,452,2,4998,2024-02-10
270,182,129,1,499,2024-01-05
271,7,343,1,2499,2024-02-14
272,665,144,2,7998,2024-01-10
273,408,314,1,499,2024-01-03
274,1323,455,1,3999,2024-02-12
275,262,122,2,7998,2024-02-06
276,1423,152,2,998,2024-01-22
277,1615,141,2,998,2024-02-26
278,1576,263,2,7998,2024-01-25
279,475,203,2,2998,2024-01-04
280,1213,468,2,998,2024-02-27
281,1915,261,2,7998,2024-02-06
282,277,440,1,999,2024-01-08
283,1786,253,2,4998,2024-01-30
284,826,426,2,1998,2024-01-09
285,1645,102,2,998,2024-01-15
286,1534,472,2,998,2024-01-01
287,96,142,2,998,2024-02-20
288,1056,489,2,998,2024-02-13
289,1292,153,1,999,2024-01-13
290,748,407,2,2998,2024-01-04
291,393,112,1,3999,2024-01-16
292,1556,211,2,7998,2024-02-26
293,399,155,1,3999,2024-02-13
294,1741,203,1,2499,2024-02-16
295,1262,274,1,499,2024-01-01
296,1928,421,2,1998,2024-01-14
297,1557,167,1,999,2024-01-27
298,1837,112,1,999,2024-01-26
299,729,385,2,2998,2024-02-16
300,995,431,2,998,2024-02-01
301,1657,260,2,7998,2024-02-09
302,808,265,1,3999,2024-01-02
303,1374,398,2,998,2024-01-16
304,1375,467,1,3999,2024-01-28
305,1798,453,1,3999,2024-02-18
306,767,358,2,998,2024-01-26
307,1035,142,2,1998,2024-01-11
308,1088,428,1,2499,2024-01-23
309,1962,298,1,499,2024-01-30
310,1146,231,2,7998,2024-02-21
311,187,191,1,3999,2024-02-29
312,392,131,2,4998,2024-01-31
313,200,356,2,4998,2024-01-02
314,55,496,1,2499,2024-01-20
315,382,135,2,998,2024-01-29
316,295,381,1,999,2024-01-10
317,1971,304,1,2499,2024-01-18
318,55,249,2,2998,2024-02-28
319,1868,443,1,999,2024-01-31
320,643,238,2,4998,2024-01-04
321,1451,380,2,7998,2024-01-27
322,941,434,2,998,2024-02-29
323,80,272,2,7998,2024-01-18
324,640,263,2,7998,2024-02-13
325,1513,201,2,998,2024-01-31
326,1755,389,2,1998,2024-01-07
327,1296,387,2,7998,2024-01-19
328,1285,201,2,1998,2024-02-08
329,1275,252,1,499,2024-01-02
330,296,220,2,4998,2024-01-14
331,1996,156,2,7998,2024-02-05
332,1859,206,1,3999,2024-02-12
333,739,338,1,499,2024-02-24
334,173,120,1,499,2024-02-15
335,899,172,2,4998,2024-01-28
336,1277,440,2,998,2024-02-07
337,1951,120,1,1499,2024-01-03
338,536,397,2,2998,2024-01-29
339,1513,110,1,499,2024-02-25
340,1821,157,1,2499,2024-01-27
341,1150,453,2,2998,2024-02-26
342,768,339,1,3999,2024-02-17
343,439,396,2,4998,2024-02-21
344,1313,185,2,998,2024-02-17
345,1203,243,2,2998,2024-02-26
346,1104,324,1,2499,2024-01-03
347,97,293,2,7998,2024-02-17
348,714,202,2,998,2024-01-30
349,30,463,2,1998,2024-01-18
350,994,425,1,1499,2024-01-08
351,1597,261,1,3999,2024-01-10
352,1468,401,1,2499,2024-01-22
353,1699,147,1,1499,2024-01-24
354,1287,333,1,1499,2024-01-03
355,1414,392,1,499,2024-01-14
356,655,121,1,3999,2024-02-16
357,864,435,2,2998,2024-01-24
358,1090,234,1,1499,2024-01-27
359,736,274,1,3999,2024-02-27
360,1756,432,1,2499,2024-02-27
361,853,468,1,499,2024-02-03
362,1809,341,2,2998,2024-01-31
363,531,116,1,3999,2024-02-17
364,1294,358,2,1998,2024-01-27
365,1073,495,1,2499,2024-02-14
366,1843,297,1,499,2024-01-29
367,1058,175,2,1998,2024-02-24
368,240,302,1,2499,2024-01-29
369,596,332,1,1499,2024-02-16
370,1941,374,1,499,2024-02-15
371,688,258,2,4998,2024-02-19
372,1859,214,1,2499,2024-02-17
373,314,357,2,4998,2024-01-12
374,846,336,1,2499,2024-01-14
375,1173,195,2,1998,2024-01-27
376,1819,227,1,499,2024-02-16
377,1479,373,1,1499,2024-01-02
378,1002,410,2,998,2024-02-06
379,157,359,2,1998,2024-02-28
380,905,475,1,499,2024-02-14
381,1256,433,1,999,2024-02-26
382,1231,177,2,1998,2024-01-18
383,172,448,2,1998,2024-01-13
384,1436,389,1,999,2024-01-09
385,1190,275,1,2499,2024-01-29
386,1807,226,2,998,2024-02-25
387,1551,297,1,3999,2024-01-10
388,1950,462,2,1998,2024-01-20
389,505,303,1,999,2024-02-06
390,544,144,1,499,2024-01-29
391,1576,478,1,2499,2024-01-06
392,1100,448,1,1499,2024-02-10
393,1236,493,1,999,2024-01-26
394,603,263,2,4998,2024-01-22
395,1794,197,2,4998,2024-02-23
396,1769,406,2,7998,2024-02-12
397,1046,342,1,999,2024-02-16
398,154,242,2,4998,2024-02-07
399,424,236,1,3999,2024-01-26
400,648,157,1,2499,2024-01-17
401,292,368,1,3999,2024-01-01
402,1434,268,1,3999,2024-01-31
403,613,207,2,7998,2024-01-09
404,593,475,1,2499,2024-01-26
405,1145,483,1,1499,2024-02-19
406,1535,143,2,998,2024-02-22
407,647,185,1,3999,2024-02-26
408,1536,385,2,1998,2024-01-06
409,385,176,2,998,2024-02-26
410,731,341,2,2998,2024-02-15
411,234,323,2,998,2024-01-02
412,218,413,1,499,2024-02-11
413,1440,438,2,2998,2024-01-27
414,1486,262,1,999,2024-01-01
415,1363,221,1,3999,2024-01-30
416,1801,276,2,4998,2024-01-18
417,1771,286,1,999,2024-02-03
418,1595,343,1,999,2024-01-21
419,1964,320,2,7998,2024-01-01
420,1601,234,2,1998,2024-02-16
421,246,134,1,999,2024-02-01
422,149,266,2,998,2024-02-12
423,894,361,1,499,2024-02-03
424,404,433,2,2998,2024-02-16
425,1713,319,2,2998,2024-02-22
426,503,164,1,1499,2024-01-14
427,384,209,1,2499,2024-01-05
428,33,440,1,3999,2024-02-24
429,402,494,2,4998,2024-02-05
430,1449,108,2,4998,2024-02-23
431,657,493,1,1499,2024-02-01
432,1912,281,2,7998,2024-02-23
433,269,142,1,2499,2024-01-09
434,1777,219,2,998,2024-02-14
435,299,405,1,2499,2024-02-04
436,113,212,1,499,2024-01-25
437,1865,418,2,4998,2024-01-11
438,1528,353,2,7998,2024-02-15
439,1006,330,2,998,2024-02-10
440,1345,235,1,499,2024-01-13
441,919,267,1,1499,2024-01-30
442,1064,278,2,998,2024-02-03
443,674,488,1,2499,2024-02-01
444,1572,490,1,2499,2024-01-30
445,946,353,2,2998,2024-01-18
446,365,146,2,1998,2024-02-08
447,206,241,2,998,2024-02-25
448,1910,380,1,499,2024-01-03
449,981,184,1,499,2024-01-07
450,1259,192,1,2499,2024-02-08
451,107,258,1,3999,2024-02-24
452,597,151,1,3999,2024-02-03
453,1116,482,2,7998,2024-01-08
454,1760,359,1,1499,2024-02-12
455,1438,217,1,1499,2024-02-17
456,40,145,2,4998,2024-02-27
457,396,256,1,3999,2024-02-01
458,1629,292,1,999,2024-02-09
459,1921,195,2,998,2024-01-14
460,1498,356,2,7998,2024-01-05
461,1808,423,1,999,2024-02-24
462,1490,286,2,998,2024-01-07
463,1889,331,1,499,2024-01-10
464,1012,353,2,2998,2024-01-20
465,306,177,1,999,2024-01-21
466,1770,477,2,7998,2024-01-28
467,43,279,2,7998,2024-01-29
468,855,347,1,2499,2024-01-06
469,1008,474,1,999,2024-02-07
470,1980,433,2,998,2024-02-11
471,1157,345,1,1499,2024-02-10
472,1941,229,1,2499,2024-01-03
473,577,120,1,1499,2024-02-06
474,1375,384,2,998,2024-01-17
475,1618,175,1,499,2024-02-02
476,149,437,2,2998,2024-01-10
477,71,259,1,2499,2024-02-06
478,321,268,1,499,2024-02-02
479,1815,377,1,3999,2024-02-28
480,1627,239,2,7998,2024-01-28
481,444,412,2,7998,2024-01-23
482,1922,107,1,2499,2024-02-11
483,767,255,2,4998,2024-02-25
484,1186,412,1,999,2024-02-15
485,1849,280,2,1998,2024-02-27
486,1808,313,1,3999,2024-02-17
487,1384,303,2,2998,2024-02-19
488,458,340,1,1499,2024-02-20
489,1876,116,2,7998,2024-02-15
490,688,376,1,999,2024-01-10
491,793,150,1,2499,2024-01-08
492,1220,490,1,1499,2024-01-16
493,1184,311,2,4998,2024-02-12
494,1530,153,1,3999,2024-02-01
495,813,415,2,4998,2024-02-18
496,92,143,1,1499,2024-02-14
497,1704,432,2,1998,2024-01-25
498,653,332,1,1499,2024-02-06
499,261,128,2,998,2024-01-15
500,145,270,1,2499,2024-01-16
501,239,160,1,2499,2024-02-11
502,1095,160,1,2499,2024-01-17
503,906,427,2,7998,2024-01-27
504,1499,119,1,3999,2024-02-16
505,1723,155,2,2998,2024-01-26
506,1571,275,2,1998,2024-01-08
507,919,429,2,998,2024-02-10
508,1720,498,1,999,2024-02-10
509,656,348,2,1998,2024-01-11
510,308,303,2,998,2024-01-27
511,667,283,2,7998,2024-01-09
512,1423,145,2,4998,2024-02-23
513,1726,144,1,3999,2024-01-11
514,774,141,1,2499,2024-01-07
515,1002,107,2,4998,2024-01-28
516,1127,439,2,7998,2024-01-30
517,280,113,2,1998,2024-02-24
518,755,328,2,4998,2024-02-05
519,599,381,2,7998,2024-02-20
520,133,201,2,1998,2024-01-09
521,711,396,2,998,2024-02-04
522,86,336,2,4998,2024-02-20
523,605,128,1,999,2024-01-13
524,1205,290,2,4998,2024-02-17
525,1695,368,2,1998,2024-01-04
526,35,453,2,998,2024-01-10
527,1530,402,1,2499,2024-02-27
528,610,315,1,3999,2024-01-26
529,1683,347,2,1998,2024-01-03
530,34,376,2,998,2024-02-19
531,478,450,1,2499,2024-02-22
532,1747,111,2,998,2024-02-12
533,466,205,2,998,2024-01-17
534,385,123,1,2499,2024-02-18
535,1705,376,1,2499,2024-01-27
536,1146,103,1,999,2024-01-22
537,1333,380,2,7998,2024-02-13
538,1232,107,2,998,2024-02-05
539,1150,263,1,2499,2024-01-08
540,1529,389,2,998,2024-02-02
541,1728,213,2,1998,2024-01-26
542,1960,149,2,1998,2024-01-31
543,1086,337,1,999,2024-02-22
544,1079,446,1,3999,2024-01-11
545,1372,383,1,1499,2024-01-29
546,374,161,1,1499,2024-01-29
547,1547,448,2,2998,2024-02-07
548,240,226,1,3999,2024-02-06
549,820,320,1,3999,2024-02-28
550,1248,301,2,998,2024-02-27
551,538,399,2,998,2024-01-15
552,1866,259,1,999,2024-02-23
553,855,107,1,3999,2024-02-20
554,48,495,1,1499,2024-02-26
555,813,224,2,2998,2024-01-15
556,487,189,1,499,2024-01-07
557,801,343,1,999,2024-02-27
558,960,294,1,999,2024-02-18
559,1614,205,2,4998,2024-02-22
560,1545,305,1,3999,2024-02-27
561,1358,170,2,2998,2024-01-29
562,740,456,2,2998,2024-02-02
563,1271,131,2,998,2024-02-15
564,1129,265,2,998,2024-02-20
565,1538,311,1,3999,2024-02-23
566,1533,109,2,998,2024-01-16
567,888,434,1,499,2024-02-03
568,1483,297,2,2998,2024-01-21
569,1396,346,2,7998,2024-01-07
570,1806,316,2,2998,2024-02-13
571,1700,228,2,2998,2024-01-29
572,35,297,1,499,2024-01-09
573,1600,432,1,1499,2024-02-18
574,1642,174,2,7998,2024-01-07
575,1268,189,2,998,2024-01-14
576,1433,380,1,3999,2024-01-30
577,865,151,2,1998,2024-01-24
578,1545,407,1,3999,2024-02-20
579,205,111,1,3999,2024-02-03
580,1579,145,2,4998,2024-01-08
581,1802,236,2,7998,2024-02-24
582,1721,400,1,1499,2024-02-29
583,545,391,2,2998,2024-01-01
584,1517,236,1,499,2024-02-03
585,905,196,2,1998,2024-01-20
586,1590,261,2,998,2024-01-31
587,744,187,1,3999,2024-01-15
588,1293,152,1,3999,2024-01-15
589,152,208,1,1499,2024-02-20
590,1086,144,2,7998,2024-02-03
591,168,481,1,3999,2024-01-05
592,1408,452,2,2998,2024-02-23
593,827,260,1,999,2024-01-22
594,1336,384,2,7998,2024-02-24
595,1600,403,1,2499,2024-01-12
596,60,181,1,999,2024-02-14
597,279,414,1,999,2024-01-31
598,1691,417,2,2998,2024-02-23
599,1644,354,1,499,2024-01-29
600,317,390,2,7998,2024-01-22
601,1324,414,2,7998,2024-02-17
602,1593,286,1,499,2024-01-08
603,43,485,1,3999,2024-02-29
604,1342,188,1,2499,2024-02-06
605,922,489,2,998,2024-01-28
606,1995,124,2,2998,2024-01-21
607,1885,152,1,499,2024-01-11
608,1136,479,2,1998,2024-01-11
609,1984,177,1,1499,2024-01-23
610,1989,213,2,1998,2024-02-11
611,920,487,1,1499,2024-01-13
612,1993,447,2,998,2024-02-12
613,1911,411,2,1998,2024-01-27
614,507,357,1,1499,2024-01-23
615,1866,244,2,7998,2024-02-20
616,1931,295,2,1998,2024-02-02
617,1021,403,1,2499,2024-02-22
618,1759,447,2,2998,2024-01-26
619,1731,201,2,7998,2024-02-12
620,473,389,2,7998,2024-02-05
621,1717,451,1,499,2024-02-02
622,1195,268,2,998,2024-02-22
623,360,194,1,999,2024-02-07
624,1435,361,2,1998,2024-02-24
625,1281,361,1,2499,2024-01-16
626,1073,127,1,3999,2024-01-10
627,560,235,2,2998,2024-02-12
628,1488,228,2,4998,2024-02-29
629,739,435,2,4998,2024-02-17
630,719,373,2,4998,2024-02-10
631,226,321,1,1499,2024-02-13
632,693,435,1,2499,2024-02-21
633,1547,222,1,499,2024-01-17
634,393,191,1,499,2024-02-21
635,829,110,1,499,2024-02-12
636,1657,105,2,4998,2024-01-23
637,88,497,2,4998,2024-01-01
638,1125,467,2,7998,2024-01-29
639,99,327,2,1998,2024-01-25
640,1558,121,1,3999,2024-01-06
641,1640,314,2,998,2024-01-10
642,486,383,2,1998,2024-02-09
643,1095,214,2,7998,2024-02-23
644,428,313,1,1499,2024-01-14
645,1310,484,1,1499,2024-01-23
646,316,240,2,2998,2024-01-19
647,477,278,1,499,2024-02-25
648,567,100,2,1998,2024-02-22
649,127,128,1,499,2024-01-31
650,551,496,2,2998,2024-02-08
651,425,397,1,2499,2024-02-08
652,1929,384,1,499,2024-02-07
653,897,449,2,1998,2024-01-19
654,387,499,1,499,2024-02-12
655,965,415,1,999,2024-01-01
656,139,204,2,4998,2024-02-07
657,132,261,2,7998,2024-01-13
658,1260,139,1,999,2024-02-26
659,161,448,2,1998,2024-02-19
660,417,321,1,1499,2024-02-03
661,557,151,1,1499,2024-02-27
662,1428,163,2,4998,2024-01-17
663,165,103,2,998,2024-02-01
664,852,466,1,3999,2024-02-18
665,226,117,2,7998,2024-02-03
666,1173,441,2,4998,2024-02-02
667,1338,109,2,7998,2024-02-13
668,1331,470,2,998,2024-01-28
669,1863,369,2,2998,2024-02-13
670,1680,473,2,4998,2024-02-28
671,736,465,1,3999,2024-01-29
672,1444,450,1,2499,2024-02-23
673,178,198,2,4998,2024-02-06
674,331,401,2,1998,2024-01-24
675,1528,293,1,999,2024-02-17
676,688,416,1,2499,2024-01-16
677,1565,485,2,1998,2024-01-13
678,1322,133,2,7998,2024-01-26
679,1634,448,2,4998,2024-01-07
680,1211,425,2,1998,2024-02-13
681,951,164,2,7998,2024-01-14
682,888,262,1,1499,2024-02-21
683,1866,275,1,1499,2024-02-01
684,451,146,1,2499,2024-02-10
685,1942,317,2,998,2024-01-11
686,1760,320,2,7998,2024-02-01
687,620,110,1,2499,2024-01-11
688,1108,289,1,999,2024-01-20
689,892,470,1,1499,2024-02-26
690,1282,487,2,1998,2024-02-21
691,1672,185,1,3999,2024-02-03
692,114,132,1,2499,2024-02-16
693,809,194,1,1499,2024-02-19
694,640,429,2,7998,2024-02-23
695,1113,280,1,1499,2024-01-22
696,651,383,2,2998,2024-01-23
697,1560,122,1,2499,2024-01-29
698,922,148,1,2499,2024-01-12
699,547,431,1,499,2024-02-08
700,1669,320,1,499,2024-01-31
701,1935,101,2,998,2024-01-29
702,618,176,1,499,2024-01-31
703,782,455,2,1998,2024-01-12
704,421,210,2,998,2024-02-04
705,1810,253,1,999,2024-02-11
706,972,244,2,2998,2024-02-24
707,1987,398,2,1998,2024-02-26
708,1640,196,2,2998,2024-02-10
709,174,414,1,499,2024-01-27
710,1761,476,2,1998,2024-01-15
711,580,313,2,2998,2024-01-30
712,1526,421,2,998,2024-01-07
713,1593,173,1,1499,2024-02-05
714,552,394,1,2499,2024-02-15
715,474,125,1,1499,2024-01-24
716,1237,321,2,998,2024-01-18
717,173,302,2,7998,2024-01-24
718,1424,377,1,2499,2024-02-01
719,624,443,2,1998,2024-01-12
720,1854,128,1,2499,2024-01-28
721,279,214,1,499,2024-01-11
722,216,365,1,1499,2024-01-03
723,1737,209,1,3999,2024-02-06
724,510,252,2,998,2024-01-03
725,595,217,1,1499,2024-01-29
726,1243,222,2,998,2024-02-01
727,104,304,2,7998,2024-02-23
728,991,421,1,1499,2024-02-07
729,1075,350,2,7998,2024-01-31
730,769,233,2,2998,2024-02-25
731,1101,351,2,4998,2024-01-01
732,429,100,2,998,2024-02-06
733,1028,383,2,1998,2024-01-21
734,311,313,1,999,2024-02-15
735,1113,494,2,998,2024-02-10
736,650,223,1,999,2024-02-11
737,1495,296,2,7998,2024-01-20
738,762,119,2,1998,2024-02-23
739,363,431,1,499,2024-02-29
740,30,446,2,4998,2024-01-11
741,1934,413,1,499,2024-02-28
742,1760,268,2,998,2024-01-10
743,1182,197,1,1499,2024-02-24
744,517,245,2,1998,2024-01-03
745,493,261,1,999,2024-02-29
746,271,165,1,1499,2024-02-17
747,1425,344,1,3999,2024-02-23
748,48,458,1,3999,2024-01-14
749,1377,420,1,1499,2024-02-14
750,1740,225,1,999,2024-02-14
751,281,319,2,7998,2024-01-31
752,1524,460,2,7998,2024-02-04
753,275,382,1,2499,2024-02-29
754,1083,129,1,3999,2024-02-23
755,181,185,2,1998,2024-02-18
756,471,431,2,4998,2024-01-09
757,679,355,2,4998,2024-02-23
758,895,484,1,999,2024-01-06
759,1797,324,1,1499,2024-01-29
760,1448,396,1,499,2024-02-21
761,1237,339,2,7998,2024-02-15
762,1978,468,1,1499,2024-02-22
763,100,356,1,499,2024-02-21
764,462,232,1,999,2024-01-22
765,1926,232,2,7998,2024-02-24
766,19,170,2,2998,2024-02-18
