session_id,user_id,session_start,traffic_source,pages_viewed
313,190,2024-01-06,ads,9
314,1627,2024-01-26,ads,10
315,950,2024-02-13,ads,3
316,173,2024-02-20,ads,2
317,759,2024-02-07,organic,10
318,1792,2024-01-11,referral,8
319,628,2024-02-21,ads,7
320,561,2024-01-29,ads,12
321,1251,2024-01-20,referral,9
322,1001,2024-01-10,ads,3
323,1605,2024-01-26,ads,6
324,1958,2024-02-17,referral,5
325,1412,2024-01-27,organic,5
326,401,2024-02-19,organic,10
327,638,2024-01-14,ads,8
328,949,2024-02-05,organic,1
329,213,2024-02-28,ads,1
330,53,2024-01-12,ads,3
331,624,2024-02-21,ads,11
332,1695,2024-02-28,referral,2
333,752,2024-01-23,organic,2
334,662,2024-01-21,ads,2
335,139,2024-01-08,ads,4
336,418,2024-02-08,organic,1
337,1649,2024-02-27,organic,10
338,143,2024-01-09,referral,9
339,1906,2024-01-24,ads,14
340,509,2024-01-31,ads,5
341,650,2024-01-25,ads,5
342,486,2024-01-17,organic,9
343,992,2024-02-11,organic,14
344,1461,2024-01-29,organic,5
345,1840,2024-02-29,referral,13
346,543,2024-01-03,organic,13
347,293,2024-01-21,referral,11
348,1644,2024-02-26,referral,14
349,1308,2024-01-08,referral,8
350,671,2024-01-14,organic,11
351,838,2024-02-27,referral,1
352,1038,2024-02-08,organic,1
353,634,2024-01-16,organic,4
354,1751,2024-01-18,organic,8
355,272,2024-01-31,referral,3
356,1049,2024-01-11,organic,1
357,1959,2024-02-07,ads,11
358,322,2024-01-20,organic,12
359,806,2024-02-22,organic,9
360,1705,2024-02-15,organic,9
361,1127,2024-02-22,referral,9
362,1890,2024-02-14,ads,9
363,883,2024-01-04,referral,2
364,1064,2024-01-20,ads,14
365,235,2024-01-31,referral,14
366,832,2024-01-20,ads,11
367,1113,2024-01-11,ads,11
368,1124,2024-02-19,ads,11
369,144,2024-01-01,organic,4
370,1106,2024-02-13,ads,2
371,589,2024-01-18,ads,7
372,1595,2024-02-08,ads,11
373,229,2024-02-13,ads,3
374,1627,2024-02-02,organic,9
375,1890,2024-02-23,ads,7
376,1419,2024-02-05,organic,8
377,1537,2024-01-18,ads,9
378,1805,2024-02-16,ads,8
379,1822,2024-01-31,referral,7
380,1221,2024-02-04,organic,9
381,274,2024-02-08,organic,11
382,590,2024-02-07,organic,1
383,653,2024-01-15,organic,11
384,1824,2024-02-16,ads,4
385,583,2024-01-06,ads,4
386,968,2024-01-08,ads,5
387,1586,2024-02-09,referral,8
388,1991,2024-01-22,organic,10
389,372,2024-01-01,organic,1
390,1905,2024-02-27,organic,6
391,1104,2024-01-13,referral,9
392,1259,2024-02-24,ads,10
393,1311,2024-01-24,ads,8
394,819,2024-01-21,organic,2
395,1691,2024-02-14,organic,7
396,572,2024-02-12,referral,5
397,545,2024-01-04,organic,2
398,1461,2024-01-07,ads,11
399,127,2024-02-29,organic,1
400,733,2024-01-12,organic,2
401,1736,2024-02-28,ads,11
402,417,2024-01-13,organic,10
403,638,2024-02-23,ads,6
404,41,2024-02-13,ads,11
405,787,2024-01-16,ads,12
406,1493,2024-01-06,ads,8
407,297,2024-01-14,ads,3
408,1621,2024-02-20,organic,5
409,1625,2024-02-17,ads,11
410,42,2024-02-28,ads,2
411,632,2024-02-27,organic,12
412,1303,2024-01-31,referral,8
413,1483,2024-02-05,ads,4
414,33,2024-02-06,referral,11
415,1300,2024-02-10,referral,10
416,665,2024-02-25,organic,12
417,1114,2024-02-04,ads,6
418,616,2024-02-23,organic,3
419,948,2024-01-10,organic,11
420,1548,2024-01-17,referral,8
421,160,2024-02-20,ads,8
422,1953,2024-02-11,organic,3
423,458,2024-01-30,ads,12
424,1732,2024-02-13,referral,9
425,399,2024-02-24,ads,10
426,1843,2024-01-07,ads,13
427,1798,2024-01-18,ads,5
428,1115,2024-01-19,organic,10
429,1733,2024-01-15,organic,9
430,581,2024-02-08,ads,7
431,1490,2024-02-13,organic,10
432,220,2024-01-22,ads,3
433,1443,2024-02-08,ads,6
434,379,2024-02-11,ads,10
435,1750,2024-02-26,organic,2
436,930,2024-02-25,organic,6
437,1471,2024-02-23,organic,12
438,964,2024-02-29,ads,5
439,1170,2024-01-30,organic,13
440,233,2024-01-20,ads,3
441,1395,2024-02-01,organic,14
442,922,2024-02-11,ads,7
443,234,2024-01-25,organic,11
444,726,2024-01-23,ads,4
445,367,2024-01-05,organic,11
446,481,2024-02-19,organic,14
447,1597,2024-02-10,referral,6
448,1387,2024-01-30,organic,9
449,590,2024-02-17,ads,12
450,1535,2024-02-08,referral,14
451,1119,2024-02-26,ads,6
452,1866,2024-01-27,referral,4
453,216,2024-02-26,organic,10
454,725,2024-02-11,organic,2
455,1840,2024-02-06,organic,9
456,712,2024-01-07,organic,14
457,1888,2024-01-05,organic,4
458,1567,2024-01-15,organic,4
459,1826,2024-02-20,ads,2
460,1879,2024-02-11,referral,5
461,985,2024-01-08,organic,13
462,1159,2024-02-25,organic,6
463,1107,2024-01-09,organic,10
464,391,2024-01-11,organic,6
465,1071,2024-02-29,ads,3
466,392,2024-01-22,organic,12
467,718,2024-02-03,organic,14
468,385,2024-02-04,ads,9
469,381,2024-01-13,referral,7
470,1101,2024-01-11,ads,13
471,1283,2024-02-29,ads,14
472,1973,2024-02-01,organic,3
473,604,2024-02-11,organic,4
474,934,2024-02-28,organic,7
475,1971,2024-01-15,organic,11
476,399,2024-02-07,referral,8
477,100,2024-01-01,ads,6
478,1525,2024-02-15,organic,4
479,383,2024-02-19,organic,12
480,707,2024-01-24,organic,2
481,1216,2024-02-12,ads,10
482,1604,2024-02-09,organic,8
483,1925,2024-01-22,organic,1
484,1778,2024-01-03,ads,9
485,1626,2024-01-14,organic,8
486,1369,2024-01-02,organic,3
487,10,2024-02-01,organic,10
488,264,2024-02-17,organic,4
489,1292,2024-02-07,organic,10
490,832,2024-02-02,organic,4
491,630,2024-02-15,ads,2
492,762,2024-02-11,ads,12
493,1595,2024-01-06,ads,11
494,195,2024-02-10,referral,10
495,562,2024-02-08,organic,5
496,1431,2024-01-25,referral,13
497,1320,2024-02-03,organic,12
498,1914,2024-01-11,organic,3
499,97,2024-02-15,organic,12
500,462,2024-02-06,organic,11
501,1663,2024-02-10,referral,1
502,758,2024-01-07,organic,2
503,87,2024-02-26,organic,11
504,991,2024-02-15,organic,12
505,77,2024-02-28,organic,7
506,1913,2024-02-17,organic,1
507,1740,2024-01-22,organic,12
508,1507,2024-02-17,organic,13
509,1170,2024-02-08,referral,13
510,661,2024-01-10,organic,2
511,1135,2024-01-21,organic,14
512,1665,2024-01-06,ads,10
513,765,2024-02-18,referral,7
514,678,2024-01-01,organic,1
515,1321,2024-02-03,organic,7
516,1450,2024-02-28,referral,13
517,1673,2024-01-14,organic,8
518,791,2024-02-05,ads,11
519,1358,2024-01-27,organic,13
520,1547,2024-01-09,referral,14
521,583,2024-02-24,referral,2
522,671,2024-01-06,ads,4
523,1752,2024-01-31,organic,7
524,538,2024-01-17,organic,1
525,1822,2024-02-22,organic,6
526,1186,2024-02-12,referral,5
527,430,2024-02-29,referral,11
528,1638,2024-02-05,organic,6
529,1093,2024-01-21,ads,8
530,133,2024-01-27,organic,11
531,189,2024-02-10,organic,11
532,1747,2024-01-28,ads,1
533,1779,2024-01-16,organic,3
534,1702,2024-02-04,organic,11
535,1948,2024-02-05,organic,13
536,1946,2024-02-25,ads,9
537,573,2024-02-04,referral,12
538,1898,2024-02-14,referral,8
539,279,2024-01-19,ads,4
540,1454,2024-02-26,ads,11
541,1649,2024-01-21,organic,14
542,542,2024-02-27,referral,10
543,1859,2024-02-02,ads,9
544,1185,2024-01-23,ads,7
545,746,2024-02-24,ads,2
546,899,2024-01-06,ads,1
547,453,2024-02-01,organic,1
548,889,2024-01-22,organic,13
549,851,2024-01-03,ads,3
550,170,2024-02-04,referral,13
551,830,2024-01-16,ads,14
552,698,2024-02-11,organic,10
553,1081,2024-02-28,organic,2
554,1264,2024-01-25,ads,4
555,769,2024-01-17,ads,14
556,358,2024-02-08,ads,14
557,201,2024-01-13,organic,8
558,444,2024-01-28,referral,5
559,1861,2024-01-11,ads,5
560,827,2024-01-10,ads,6
561,1326,2024-02-08,organic,13
562,1130,2024-01-24,organic,12
563,1826,2024-02-07,referral,5
564,101,2024-01-24,organic,5
565,1121,2024-02-02,ads,14
566,1689,2024-01-17,organic,7
567,938,2024-02-26,ads,6
568,29,2024-02-13,organic,13
569,1530,2024-02-05,organic,13
570,665,2024-02-04,referral,14
571,1462,2024-01-06,ads,10
572,1403,2024-02-27,organic,11
573,73,2024-02-29,organic,2
574,254,2024-01-16,referral,13
575,1987,2024-02-14,organic,1
576,1935,2024-01-28,ads,1
577,516,2024-02-10,organic,4
578,749,2024-02-01,referral,2
579,1574,2024-01-26,ads,6
580,1044,2024-01-11,ads,12
581,1649,2024-02-21,organic,12
582,535,2024-01-25,referral,9
583,421,2024-01-31,organic,10
584,446,2024-01-21,referral,11
585,879,2024-02-14,organic,14
586,136,2024-02-24,ads,10
587,1529,2024-02-20,organic,8
588,1957,2024-01-03,ads,4
589,1784,2024-01-12,organic,13
590,1325,2024-02-20,organic,12
591,1633,2024-02-09,organic,2
592,33,2024-02-15,organic,1
593,647,2024-02-23,organic,7
594,1791,2024-02-10,organic,10
595,278,2024-01-25,referral,3
596,133,2024-02-25,organic,14
597,750,2024-01-17,ads,6
598,1551,2024-02-07,organic,5
599,1813,2024-02-05,ads,5
600,126,2024-02-05,organic,12
601,345,2024-01-19,referral,2
602,17,2024-02-13,ads,14
603,824,2024-02-26,organic,9
604,562,2024-01-02,ads,11
605,647,2024-01-17,organic,4
606,630,2024-01-30,ads,10
607,1402,2024-02-16,organic,1
608,818,2024-01-10,organic,2
609,60,2024-02-04,organic,9
610,1661,2024-02-21,ads,7
611,467,2024-02-05,organic,10
612,628,2024-02-23,ads,2
613,391,2024-02-02,ads,7
614,936,2024-01-01,organic,14
615,685,2024-01-18,ads,4
616,1211,2024-01-04,ads,10
617,498,2024-02-24,referral,2
618,600,2024-02-23,ads,12
619,1739,2024-02-16,ads,4
620,1385,2024-01-27,ads,5
621,1847,2024-01-25,organic,13
622,1856,2024-02-24,organic,14
623,449,2024-01-28,organic,4
624,1718,2024-02-22,organic,3
625,1888,2024-01-22,organic,6
626,680,2024-02-11,referral,1
627,1205,2024-01-25,organic,8
628,1836,2024-01-17,ads,12
629,1983,2024-02-28,ads,5
630,130,2024-02-26,organic,8
631,1999,2024-02-23,organic,10
632,149,2024-02-13,ads,4
633,1496,2024-02-21,ads,4
634,818,2024-01-12,referral,5
635,1745,2024-01-16,organic,5
636,1647,2024-02-06,referral,11
637,948,2024-01-16,organic,6
638,500,2024-01-17,ads,5
639,1673,2024-02-24,ads,5
640,1379,2024-01-31,organic,13
641,1940,2024-01-15,organic,8
642,1235,2024-01-13,organic,6
643,658,2024-02-09,organic,2
644,1620,2024-01-27,ads,4
645,1054,2024-01-21,organic,4
646,577,2024-01-02,ads,5
647,1048,2024-01-08,organic,6
648,984,2024-02-11,ads,11
649,1967,2024-01-07,ads,5
650,723,2024-01-10,ads,14
651,222,2024-02-26,ads,14
652,602,2024-01-04,organic,11
653,1642,2024-02-12,ads,6
654,684,2024-02-10,organic,8
655,742,2024-02-05,organic,4
656,925,2024-02-04,organic,11
657,1613,2024-02-12,ads,3
658,580,2024-01-03,ads,9
659,1901,2024-02-27,ads,3
660,401,2024-01-18,organic,11
661,1889,2024-02-27,organic,8
662,901,2024-02-20,referral,10
663,1628,2024-02-15,ads,12
664,512,2024-02-25,organic,5
665,88,2024-02-12,ads,9
666,1489,2024-01-24,organic,3
667,50,2024-02-01,organic,10
668,103,2024-02-03,organic,10
669,368,2024-02-28,organic,8
670,936,2024-01-02,organic,14
671,1516,2024-01-02,referral,13
672,1582,2024-01-10,ads,13
673,1715,2024-01-23,organic,7
674,1803,2024-01-15,ads,12
675,1292,2024-02-23,referral,7
676,1421,2024-01-12,organic,14
677,1344,2024-02-12,ads,11
678,1544,2024-01-17,ads,10
679,1473,2024-01-18,organic,9
680,1801,2024-01-14,organic,12
681,1500,2024-01-17,organic,8
682,898,2024-01-15,ads,3
683,1614,2024-01-12,organic,14
684,909,2024-02-28,ads,13
685,1264,2024-01-16,ads,6
686,258,2024-02-01,organic,11
687,1732,2024-01-23,referral,6
688,1996,2024-02-07,referral,5
689,1968,2024-02-03,organic,3
690,1866,2024-02-03,referral,9
691,1667,2024-01-16,organic,7
692,1988,2024-02-03,organic,4
693,390,2024-02-09,organic,6
694,1367,2024-01-07,ads,5
695,773,2024-02-02,ads,1
696,754,2024-01-04,organic,2
697,1411,2024-02-12,organic,1
698,394,2024-02-21,organic,9
699,683,2024-01-07,referral,9
700,1683,2024-01-18,referral,5
701,270,2024-01-04,ads,8
702,149,2024-02-18,ads,10
703,1404,2024-01-11,ads,4
704,811,2024-02-12,organic,1
705,28,2024-01-20,organic,13
706,1173,2024-01-11,ads,13
707,1444,2024-01-15,ads,4
708,280,2024-02-15,organic,7
709,1206,2024-01-17,referral,11
710,166,2024-02-03,ads,2
711,17,2024-02-19,organic,2
712,1174,2024-02-17,ads,6
713,339,2024-01-12,referral,9
714,1069,2024-02-11,organic,3
715,1526,2024-01-28,ads,7
716,842,2024-02-17,organic,10
717,189,2024-02-04,organic,14
718,651,2024-01-08,ads,9
719,1085,2024-01-27,organic,11
720,294,2024-01-22,organic,13
721,1858,2024-02-23,organic,9
722,1057,2024-02-26,organic,11
723,1323,2024-01-24,organic,4
724,415,2024-01-02,ads,2
725,1648,2024-01-31,organic,1
726,803,2024-01-22,ads,6
727,1573,2024-01-01,ads,5
728,431,2024-01-14,organic,6
729,1519,2024-01-25,ads,7
730,1124,2024-02-05,ads,9
731,1047,2024-02-05,organic,10
732,1444,2024-02-10,organic,10
733,1448,2024-01-03,ads,11
734,487,2024-01-05,referral,6
735,1754,2024-01-01,organic,6
736,89,2024-02-23,organic,13
737,1233,2024-01-19,organic,3
738,271,2024-02-02,organic,13
739,1957,2024-02-11,ads,8
740,1773,2024-02-23,organic,9
741,900,2024-01-30,organic,1
742,1430,2024-01-12,organic,6
743,1745,2024-01-10,organic,7
744,278,2024-02-03,organic,11
745,206,2024-01-16,organic,8
746,1614,2024-02-09,organic,12
747,913,2024-02-15,ads,10
748,328,2024-01-29,referral,11
749,1634,2024-01-15,organic,8
750,858,2024-02-17,ads,7
751,877,2024-01-11,organic,8
752,862,2024-02-13,organic,11
753,336,2024-02-03,organic,9
754,606,2024-02-05,organic,10
755,592,2024-01-30,ads,7
756,1062,2024-02-04,organic,3
757,1014,2024-01-09,organic,9
758,1944,2024-01-18,ads,1
759,1252,2024-01-19,ads,14
760,1507,2024-02-08,organic,8
761,1158,2024-01-04,organic,6
762,708,2024-01-06,organic,11
763,978,2024-02-20,organic,3
764,1414,2024-02-02,organic,9
765,1818,2024-02-01,organic,6
766,1637,2024-01-16,ads,7
767,425,2024-01-11,ads,11
768,587,2024-01-22,ads,2
769,806,2024-02-05,organic,1
770,1534,2024-02-19,organic,1
771,720,2024-01-23,organic,3
772,1619,2024-01-26,ads,11
773,1451,2024-02-29,organic,3
774,949,2024-01-31,referral,8
775,655,2024-01-29,ads,7
776,474,2024-01-05,referral,10
777,568,2024-02-23,ads,8
778,1385,2024-02-07,referral,1
779,1976,2024-01-25,ads,4
780,1823,2024-02-29,referral,8
781,211,2024-02-03,organic,10
782,1977,2024-01-12,organic,2
783,1203,2024-01-22,ads,7
784,1944,2024-01-09,referral,8
785,1082,2024-02-29,organic,14
786,1097,2024-01-20,organic,9
787,215,2024-01-29,ads,7
788,900,2024-02-13,ads,12
789,1802,2024-01-29,organic,9
790,1983,2024-02-14,ads,2
791,1097,2024-01-27,referral,11
792,467,2024-02-23,referral,1
793,1295,2024-02-24,organic,1
794,1523,2024-01-17,organic,11
795,354,2024-01-05,organic,12
796,1258,2024-02-21,organic,4
797,1343,2024-02-14,organic,1
798,1043,2024-01-13,ads,7
799,625,2024-02-11,organic,8
800,1599,2024-01-15,referral,3
801,372,2024-01-15,referral,14
802,184,2024-01-18,organic,1
803,1301,2024-02-19,referral,3
804,674,2024-01-02,ads,2
805,755,2024-01-23,ads,6
806,1169,2024-02-12,organic,11
807,1682,2024-01-13,ads,7
808,1105,2024-02-12,organic,9
809,322,2024-01-04,ads,5
810,435,2024-02-16,organic,4
811,1857,2024-02-23,ads,1
812,1067,2024-02-24,organic,11
813,1337,2024-01-25,organic,14
814,1930,2024-01-11,ads,6
815,293,2024-02-19,ads,11
816,688,2024-02-17,organic,8
817,888,2024-02-11,organic,4
818,69,2024-01-12,referral,1
819,56,2024-01-13,ads,14
820,631,2024-01-09,organic,14
821,1228,2024-02-28,ads,5
822,420,2024-02-22,organic,10
823,1951,2024-02-14,organic,5
824,567,2024-02-07,ads,2
825,550,2024-01-06,ads,6
826,243,2024-02-12,ads,10
827,1225,2024-02-20,organic,9
828,748,2024-02-28,referral,14
829,1498,2024-02-12,organic,6
830,527,2024-01-10,referral,8
831,1680,2024-01-23,organic,10
832,77,2024-01-15,organic,3
833,1502,2024-02-14,ads,10
834,1845,2024-01-23,organic,2
835,440,2024-02-09,ads,4
836,1287,2024-02-06,ads,12
837,1209,2024-02-03,organic,9
838,1079,2024-01-16,ads,9
839,1332,2024-02-14,organic,3
840,516,2024-02-20,organic,12
841,1323,2024-02-10,referral,13
842,1576,2024-02-16,referral,1
843,1254,2024-02-01,organic,1
844,1401,2024-02-07,ads,4
845,1310,2024-02-09,organic,4
