order_id,user_id,order_value,order_status,order_time
227,415,4919,cancelled,2024-02-28
228,404,1383,success,2024-02-27
229,682,1088,success,2024-02-21
230,70,1627,success,2024-01-10
231,1463,2157,success,2024-02-09
232,1624,984,success,2024-01-13
233,180,4795,success,2024-02-06
234,233,1818,success,2024-02-12
235,71,3910,success,2024-02-24
236,1787,2813,success,2024-02-09
237,1343,3014,success,2024-02-20
238,1284,3305,success,2024-01-23
239,1982,3649,success,2024-02-24
240,876,1250,success,2024-02-26
241,364,3423,cancelled,2024-01-19
242,308,5423,success,2024-02-23
243,1510,1369,success,2024-01-23
244,1861,4696,success,2024-02-10
245,1948,4188,cancelled,2024-01-16
246,626,1450,success,2024-01-12
247,247,1133,success,2024-02-05
248,1034,2013,cancelled,2024-01-04
249,1557,5317,success,2024-01-12
250,1655,754,success,2024-01-27
251,1376,1880,success,2024-01-14
252,860,1711,success,2024-01-16
253,215,3870,success,2024-02-22
254,201,5033,success,2024-01-29
255,1863,3012,success,2024-02-27
256,529,5320,success,2024-01-12
257,1101,4074,success,2024-02-22
258,773,4158,success,2024-01-15
259,1872,5552,cancelled,2024-01-01
260,20,5187,success,2024-01-28
261,834,5722,failed,2024-01-08
262,1861,2058,failed,2024-02-01
263,1854,1319,success,2024-02-25
264,1223,758,failed,2024-01-25
265,714,4153,success,2024-02-04
266,382,647,success,2024-01-12
267,1851,3778,success,2024-02-29
268,640,4193,cancelled,2024-01-06
269,113,2577,success,2024-01-31
270,440,2963,failed,2024-02-28
271,1993,3129,success,2024-02-27
272,377,1411,success,2024-01-09
273,43,3600,success,2024-02-21
274,1399,777,success,2024-01-25
275,1415,1423,success,2024-02-23
276,1645,5704,success,2024-01-20
277,1573,5499,cancelled,2024-02-07
278,181,2477,success,2024-01-15
279,1968,1781,success,2024-02-23
280,1903,4107,success,2024-02-05
281,6,1279,success,2024-01-26
282,1078,2808,success,2024-02-06
283,662,3073,failed,2024-02-18
284,108,4799,cancelled,2024-02-10
285,558,4366,failed,2024-01-11
286,1205,3125,success,2024-01-27
287,939,3748,success,2024-02-08
288,1439,3104,success,2024-01-21
289,292,3927,success,2024-02-22
290,913,3164,failed,2024-01-06
291,779,3165,success,2024-01-11
292,55,4393,success,2024-02-15
293,806,4240,cancelled,2024-01-31
294,705,2528,success,2024-02-25
295,560,2788,success,2024-01-11
296,1979,1006,failed,2024-02-20
297,883,2551,failed,2024-02-14
298,1956,5663,success,2024-01-08
299,612,1460,success,2024-01-19
300,1117,3446,success,2024-02-01
301,1680,561,success,2024-01-26
302,757,849,cancelled,2024-02-15
303,169,504,success,2024-02-06
304,1526,2591,cancelled,2024-02-12
305,677,5692,failed,2024-02-22
306,32,4770,success,2024-02-03
307,1783,513,failed,2024-02-16
308,1533,5638,failed,2024-01-16
309,1629,4467,success,2024-02-02
310,480,4378,success,2024-02-04
311,400,5173,success,2024-01-10
312,854,3345,success,2024-02-05
313,701,2739,success,2024-01-23
314,1897,4212,success,2024-02-24
315,294,4922,success,2024-02-17
316,520,3509,success,2024-02-10
317,708,1106,success,2024-01-04
318,601,2918,success,2024-01-19
319,1403,5264,success,2024-02-29
320,58,3457,cancelled,2024-01-19
321,1145,2351,failed,2024-02-11
322,429,1438,failed,2024-02-11
323,419,3006,success,2024-01-14
324,66,4449,cancelled,2024-02-02
325,1620,5084,cancelled,2024-02-17
326,519,1556,success,2024-02-23
327,683,3664,cancelled,2024-02-21
328,511,3385,success,2024-02-06
329,1758,5626,success,2024-02-15
330,1178,2301,failed,2024-01-18
331,221,5868,success,2024-01-08
332,608,2503,success,2024-01-10
333,1447,5692,success,2024-01-31
334,1461,2602,success,2024-02-04
335,519,2932,success,2024-02-24
336,1212,3934,failed,2024-01-25
337,1879,2348,success,2024-01-25
338,1858,4250,success,2024-02-09
339,409,4227,success,2024-02-16
340,900,1064,success,2024-02-15
341,392,4686,success,2024-01-03
342,895,4060,success,2024-01-15
343,1351,1272,cancelled,2024-02-01
344,990,857,success,2024-01-21
345,1114,4028,success,2024-02-27
346,703,2477,failed,2024-02-02
347,1248,1408,cancelled,2024-02-08
348,382,1526,success,2024-01-27
349,1133,1550,success,2024-01-14
350,1944,4645,cancelled,2024-02-05
351,1070,2392,cancelled,2024-02-15
352,1627,809,success,2024-02-10
353,1199,1392,success,2024-01-10
354,4,1067,success,2024-01-24
355,801,1127,failed,2024-01-10
356,196,2157,failed,2024-01-31
357,270,4555,success,2024-02-08
358,989,2085,success,2024-02-16
359,685,4701,failed,2024-02-27
360,1777,3403,success,2024-01-28
361,1067,1863,success,2024-01-04
362,1467,2830,success,2024-02-19
363,1579,3983,success,2024-02-17
364,614,4567,success,2024-01-19
365,432,3924,success,2024-02-09
366,393,2989,success,2024-01-16
367,1462,4210,success,2024-02-01
368,1742,4417,success,2024-01-06
369,509,1942,cancelled,2024-02-20
370,1049,5350,success,2024-01-10
371,1062,3611,cancelled,2024-02-28
372,637,1746,success,2024-02-14
373,1301,4586,cancelled,2024-01-16
374,416,4133,cancelled,2024-01-02
375,407,1362,success,2024-01-08
376,1314,5709,failed,2024-02-10
377,816,3809,success,2024-02-08
378,1580,4793,success,2024-01-05
379,1806,5862,failed,2024-01-30
380,358,1934,success,2024-01-08
381,75,3475,failed,2024-01-29
382,909,5807,success,2024-01-03
383,472,1122,success,2024-01-13
384,689,4369,success,2024-02-21
385,1754,4297,success,2024-01-27
386,473,4556,success,2024-02-20
387,1139,3064,failed,2024-01-12
388,1419,887,failed,2024-02-20
389,1852,976,success,2024-02-09
390,705,636,success,2024-02-20
391,975,2154,success,2024-01-06
392,1778,3033,failed,2024-02-08
393,1343,1435,cancelled,2024-02-18
394,257,552,success,2024-01-15
395,232,3771,success,2024-02-15
396,1353,5566,failed,2024-02-16
397,1499,4321,success,2024-02-28
398,851,3411,failed,2024-01-08
399,539,5011,success,2024-02-09
400,806,3027,cancelled,2024-02-28
401,1629,2233,success,2024-02-21
402,997,2522,success,2024-01-24
403,769,652,success,2024-02-01
404,1174,2913,cancelled,2024-01-31
405,991,577,success,2024-02-07
406,1992,5219,success,2024-02-24
407,860,997,failed,2024-01-03
408,1980,1099,success,2024-02-17
409,1758,1202,failed,2024-02-04
410,191,535,success,2024-01-13
411,1708,5850,success,2024-02-28
412,1575,3416,success,2024-02-27
413,544,1252,success,2024-02-16
414,1767,989,success,2024-02-11
415,1434,5174,success,2024-02-10
416,1735,1818,cancelled,2024-02-27
417,1840,1432,success,2024-01-15
418,271,5124,success,2024-01-26
419,643,5161,cancelled,2024-01-12
420,1531,4748,success,2024-02-29
421,854,1928,success,2024-01-25
422,1658,2566,cancelled,2024-01-28
423,1709,4470,success,2024-01-19
424,236,2522,failed,2024-01-09
425,1976,2602,failed,2024-02-04
426,1731,5798,success,2024-02-14
427,639,1306,success,2024-02-05
428,1537,824,success,2024-02-01
429,1864,2671,success,2024-01-03
430,1015,3569,success,2024-01-05
431,1066,2031,success,2024-02-29
432,1923,5390,success,2024-02-21
433,1721,1166,success,2024-02-10
434,271,3824,success,2024-01-18
435,365,1280,success,2024-02-11
436,1446,4459,failed,2024-02-25
437,523,778,success,2024-02-20
438,642,4148,success,2024-01-15
439,833,3173,success,2024-01-25
440,1190,5839,success,2024-01-18
441,190,3817,cancelled,2024-01-07
442,1989,3138,success,2024-01-22
443,1039,1499,failed,2024-01-24
444,1542,4314,success,2024-02-04
445,253,4429,success,2024-01-22
446,956,994,success,2024-01-27
447,380,3286,failed,2024-01-02
448,379,5476,success,2024-01-11
449,1129,2280,failed,2024-02-27
450,323,5564,cancelled,2024-02-16
451,694,4975,cancelled,2024-01-26
452,485,3714,success,2024-01-07
453,1936,5713,success,2024-01-19
454,896,566,success,2024-02-06
455,1958,953,cancelled,2024-01-19
456,1395,5586,cancelled,2024-01-10
457,1331,5624,success,2024-02-16
458,462,3255,cancelled,2024-01-31
459,80,5291,failed,2024-01-01
460,1575,1854,success,2024-01-17
461,1852,561,success,2024-01-10
462,1145,1438,success,2024-02-05
463,108,868,cancelled,2024-01-21
464,1361,4110,success,2024-01-17
465,1814,5328,failed,2024-02-11
466,30,1267,success,2024-02-13
467,455,3804,failed,2024-02-12
468,208,4596,success,2024-01-03
469,1750,4385,success,2024-02-20
470,763,3377,cancelled,2024-02-19
471,234,3371,success,2024-01-22
472,1363,2739,success,2024-01-30
473,808,3163,failed,2024-02-19
474,434,600,success,2024-02-05
475,1782,3797,success,2024-01-05
476,886,4975,success,2024-01-03
477,1131,1333,cancelled,2024-01-01
478,1812,2976,failed,2024-01-17
479,1470,1455,success,2024-02-18
480,444,517,failed,2024-02-23
481,1672,3233,success,2024-02-21
482,1342,2580,success,2024-01-22
483,1178,4839,failed,2024-01-27
484,1362,5886,success,2024-02-02
485,696,5328,success,2024-01-21
486,551,3088,success,2024-01-01
487,186,2065,cancelled,2024-01-04
488,1266,1085,failed,2024-02-10
489,8,1273,success,2024-01-06
490,650,1074,success,2024-01-28
491,1367,1652,success,2024-01-12
492,1605,3068,success,2024-02-14
493,1634,5413,cancelled,2024-02-21
494,144,4906,failed,2024-02-27
495,1073,1900,cancelled,2024-01-23
496,533,3331,success,2024-02-12
497,1259,2461,success,2024-01-12
498,1389,2037,success,2024-02-11
499,1817,3153,success,2024-02-17
500,1350,2284,failed,2024-02-27
501,1610,5253,success,2024-02-18
502,1282,1328,success,2024-02-14
503,798,3065,success,2024-02-02
504,663,1126,success,2024-01-21
505,1994,1513,success,2024-02-24
506,1390,5376,success,2024-02-10
507,269,3074,success,2024-02-26
508,684,4678,success,2024-02-27
509,472,5535,failed,2024-02-09
510,1691,4475,success,2024-01-27
511,983,3146,success,2024-02-19
512,369,5644,failed,2024-02-01
513,318,660,success,2024-01-01
514,1898,4484,success,2024-02-01
515,106,3111,success,2024-01-03
516,118,2095,success,2024-02-02
517,275,5547,success,2024-01-01
518,307,5393,cancelled,2024-01-24
519,1953,3772,success,2024-01-19
520,1837,5141,success,2024-01-18
521,430,3355,success,2024-02-01
522,402,3778,cancelled,2024-02-13
523,1806,1808,success,2024-01-06
524,340,3281,success,2024-01-17
525,694,884,success,2024-01-12
526,90,5566,success,2024-02-03
527,1115,2960,success,2024-02-05
528,1264,2529,success,2024-02-08
529,992,5329,success,2024-01-02
530,921,3118,cancelled,2024-01-20
531,589,2015,success,2024-01-20
532,1066,5250,success,2024-02-25
533,105,3260,success,2024-02-16
534,1824,5202,success,2024-02-08
535,347,4655,cancelled,2024-02-24
536,536,5890,cancelled,2024-02-26
537,1515,3605,success,2024-02-20
538,85,3249,cancelled,2024-02-01
539,569,4611,success,2024-01-03
540,720,5908,cancelled,2024-01-26
541,850,1523,failed,2024-02-10
542,1910,5075,success,2024-01-12
543,1984,531,success,2024-02-19
544,904,2947,success,2024-01-03
545,490,5698,success,2024-01-28
546,677,2248,success,2024-01-09
547,419,1039,success,2024-01-26
548,522,5761,success,2024-01-06
549,359,3437,success,2024-01-05
550,2,5384,success,2024-01-09
551,1840,1739,cancelled,2024-02-24
552,189,4972,failed,2024-02-15
553,1211,5593,cancelled,2024-02-03
554,1727,5778,failed,2024-01-28
555,918,521,success,2024-01-26
556,513,4620,success,2024-02-26
557,1111,2081,success,2024-02-28
558,1959,1565,success,2024-02-23
559,1379,3092,success,2024-02-04
560,612,3054,success,2024-01-01
561,142,845,success,2024-01-04
562,1690,2473,success,2024-02-28
563,679,5410,success,2024-01-13
564,1545,966,success,2024-02-09
565,875,3045,failed,2024-02-22
566,115,3883,success,2024-01-21
567,1101,652,success,2024-01-18
568,1064,4797,success,2024-01-20
569,939,5155,success,2024-01-04
570,276,4390,success,2024-02-01
571,72,4702,success,2024-01-27
572,161,3011,failed,2024-01-25
573,1221,3458,failed,2024-01-07
574,185,2916,success,2024-02-14
575,925,5537,success,2024-01-30
576,640,2100,success,2024-01-23
577,612,4025,cancelled,2024-01-29
578,1235,1319,failed,2024-02-26
579,511,5614,success,2024-02-26
580,149,646,success,2024-01-21
581,1553,3486,success,2024-02-02
582,1319,5113,failed,2024-01-18
583,1961,3942,success,2024-01-27
584,1960,5047,success,2024-01-14
585,186,2173,success,2024-02-09
586,1705,5227,success,2024-02-23
587,629,670,failed,2024-01-31
588,450,5162,failed,2024-02-11
589,1655,880,success,2024-01-08
590,1915,3178,success,2024-01-03
591,1879,3817,success,2024-02-04
592,258,1243,success,2024-02-07
593,945,2172,success,2024-01-11
594,685,5428,cancelled,2024-02-05
595,1730,1190,success,2024-02-21
596,404,1220,success,2024-02-17
597,301,4828,cancelled,2024-02-12
598,84,1380,failed,2024-02-21
599,1025,1057,success,2024-02-03
600,1599,5697,success,2024-01-23
601,1304,4025,success,2024-01-05
602,1676,3106,success,2024-01-30
603,1595,5039,failed,2024-02-06
604,1020,1068,failed,2024-01-16
605,114,2610,success,2024-01-14
606,814,5905,success,2024-01-07
607,912,5069,success,2024-02-22
608,1777,4600,success,2024-02-02
609,1824,4485,success,2024-01-02
610,1421,3136,cancelled,2024-02-15
611,16,5022,success,2024-01-05
612,646,4606,cancelled,2024-02-14
613,231,1393,failed,2024-02-14
614,1891,2527,success,2024-02-08
615,560,2291,failed,2024-02-29
616,1722,2598,success,2024-01-15
617,279,1919,failed,2024-02-29
618,879,2920,success,2024-02-11
619,1840,5035,cancelled,2024-01-02
620,40,1478,failed,2024-01-24
621,1573,2420,cancelled,2024-01-29
622,976,2177,cancelled,2024-01-29
623,898,3908,success,2024-01-21
624,874,921,cancelled,2024-01-25
625,1533,679,success,2024-01-22
626,1510,1930,success,2024-01-19
627,1513,3124,failed,2024-02-29
628,620,3778,success,2024-01-13
629,1827,3460,success,2024-02-07
630,89,1943,failed,2024-02-26
631,1626,1329,success,2024-02-02
632,1038,3246,success,2024-02-02
633,1709,5603,success,2024-02-25
634,255,5800,failed,2024-01-12
635,683,4064,failed,2024-02-15
636,72,2302,success,2024-01-23
637,63,5214,success,2024-02-28
638,166,3171,failed,2024-01-29
639,429,2685,success,2024-01-29
640,1621,4599,success,2024-02-12
641,1624,3462,success,2024-02-29
642,419,965,cancelled,2024-01-01
643,375,4959,success,2024-01-24
644,1064,5169,success,2024-01-05
645,1458,3778,success,2024-02-26
646,1903,3487,success,2024-02-04
647,1907,2035,success,2024-02-14
648,575,4372,success,2024-01-05
649,194,2973,failed,2024-01-13
650,84,5865,failed,2024-02-01
651,509,1894,success,2024-02-24
652,205,2690,success,2024-02-11
653,1325,2499,success,2024-01-27
654,272,5647,success,2024-01-24
655,398,3687,success,2024-01-03
656,1754,1251,success,2024-01-01
657,624,3229,success,2024-02-29
658,448,4610,success,2024-01-29
659,1196,1997,success,2024-02-14
660,1437,4629,cancelled,2024-01-22
661,145,2830,cancelled,2024-01-05
662,1638,897,failed,2024-02-12
663,1,4837,success,2024-01-21
664,519,4726,success,2024-02-28
665,968,2678,success,2024-01-12
666,937,4170,success,2024-01-28
667,569,4280,success,2024-01-11
668,127,5429,cancelled,2024-01-15
669,1103,2735,success,2024-02-07
670,813,921,failed,2024-02-04
671,427,3696,success,2024-02-17
672,989,2165,success,2024-02-14
673,463,2662,success,2024-01-16
674,1681,5058,success,2024-02-06
675,298,4695,cancelled,2024-01-15
676,612,1999,success,2024-02-01
677,43,1217,success,2024-02-27
678,916,4351,success,2024-02-28
679,1377,3601,failed,2024-01-16
680,71,2518,failed,2024-02-02
681,1376,1403,success,2024-02-09
682,1201,3155,failed,2024-02-26
683,1401,1265,success,2024-01-20
684,695,2311,success,2024-02-06
685,316,2790,success,2024-02-08
686,747,4674,success,2024-02-01
687,543,690,success,2024-01-10
688,305,5441,success,2024-01-16
689,1995,4237,success,2024-01-05
690,1928,4492,success,2024-01-20
691,1903,1324,success,2024-02-25
692,1587,5423,success,2024-01-27
693,1693,2055,success,2024-02-12
694,1801,4710,success,2024-02-29
695,577,3853,success,2024-02-23
696,1902,3027,success,2024-02-19
697,1365,4362,success,2024-02-28
698,1635,3507,success,2024-01-20
699,599,1233,success,2024-01-13
700,1425,5489,success,2024-01-19
701,713,3097,success,2024-02-13
702,247,1708,failed,2024-02-19
703,1266,2065,success,2024-01-15
704,1782,4326,success,2024-02-07
705,874,3446,success,2024-01-27
706,1810,1259,success,2024-02-11
707,1198,3798,cancelled,2024-01-17
708,1319,4535,failed,2024-01-10
709,1043,5594,success,2024-02-05
710,1655,5973,success,2024-02-09
711,331,3680,success,2024-01-05
712,1707,3262,success,2024-02-20
713,953,3011,success,2024-02-19
714,1935,2451,success,2024-02-17
715,466,4290,success,2024-01-27
716,370,3914,success,2024-02-28
717,514,1888,success,2024-02-23
718,320,4243,failed,2024-01-28
719,1067,641,success,2024-01-04
720,1111,565,cancelled,2024-01-07
721,994,5305,success,2024-01-08
722,705,5151,success,2024-01-15
723,1529,538,failed,2024-02-10
724,1056,5022,success,2024-01-29
725,901,4114,success,2024-02-08
726,1516,563,success,2024-01-09
727,15,5704,success,2024-01-20
728,1880,1781,success,2024-01-01
729,1594,798,success,2024-01-07
730,578,4339,success,2024-02-03
731,113,5447,success,2024-02-16
732,1769,3059,success,2024-01-10
733,1880,4039,failed,2024-02-28
734,32,1631,cancelled,2024-02-10
735,568,1746,failed,2024-02-17
736,464,1418,success,2024-01-06
737,483,1933,cancelled,2024-01-25
738,1992,1246,success,2024-01-12
739,485,3816,failed,2024-02-09
740,1830,4817,success,2024-02-10
741,1715,828,success,2024-02-08
742,291,5277,success,2024-01-14
743,256,744,success,2024-01-11
744,181,4511,success,2024-01-12
745,1778,2331,failed,2024-01-19
746,1446,4594,success,2024-02-11
747,1158,4671,success,2024-01-28
748,338,590,success,2024-02-22
749,475,801,success,2024-01-19
750,922,1037,success,2024-01-29
751,1186,606,success,2024-02-14
752,694,4353,failed,2024-02-04
753,1941,1729,success,2024-01-23
754,248,894,success,2024-02-29
755,1929,4265,success,2024-01-16
756,441,3579,success,2024-02-23
757,84,1178,failed,2024-02-06
758,130,4788,success,2024-02-29
759,133,3222,success,2024-01-21
760,1267,5096,success,2024-02-28
761,558,505,failed,2024-02-09
762,1669,2274,success,2024-01-01
763,1673,1478,success,2024-02-15
764,1962,4690,success,2024-02-21
765,1707,3270,cancelled,2024-02-06
766,517,2539,success,2024-01-25
767,1946,2442,success,2024-01-16
768,530,1024,success,2024-02-02
769,370,1457,success,2024-01-25
770,1054,2671,success,2024-01-22
771,1790,763,success,2024-01-03
772,839,2924,success,2024-01-03
773,472,4401,success,2024-01-11
774,1160,5711,success,2024-02-12
775,1225,3918,success,2024-02-21
776,1920,4712,cancelled,2024-01-05
777,1618,5913,success,2024-02-13
778,91,2097,success,2024-01-25
779,1415,5808,success,2024-02-07
780,1950,3873,success,2024-02-22
781,1961,4108,success,2024-01-16
782,393,4084,failed,2024-02-01
783,1303,3006,success,2024-01-29
784,672,3021,success,2024-01-06
785,518,2082,cancelled,2024-01-22
786,932,5780,success,2024-01-09
787,279,5462,success,2024-01-10
788,1467,1505,success,2024-02-24
789,817,2958,success,2024-01-14
790,251,4007,success,2024-02-16
791,387,1223,success,2024-02-08
792,1457,1791,success,2024-01-20
793,1098,1261,cancelled,2024-01-05
794,1350,3992,success,2024-01-07
795,903,4601,success,2024-02-09
796,1381,5575,success,2024-02-23
797,1744,5834,failed,2024-02-25
798,1943,962,success,2024-01-14
799,1155,4978,failed,2024-02-26
800,1449,3919,success,2024-01-15
801,1919,3349,success,2024-01-17
802,1812,5113,success,2024-01-20
803,294,4783,success,2024-01-16
804,1410,3748,failed,2024-02-10
805,585,2309,failed,2024-01-21
806,1684,4722,success,2024-01-11
807,732,3713,success,2024-01-04
808,1924,3463,success,2024-01-25
809,886,1949,success,2024-01-02
810,649,3296,success,2024-01-02
811,356,2916,success,2024-01-27
812,1563,3508,success,2024-01-31
813,1499,4170,success,2024-02-16
814,1651,2353,success,2024-01-08
815,365,4141,success,2024-02-17
816,141,5339,success,2024-01-08
817,1618,4512,success,2024-01-05
818,1649,5018,success,2024-01-22
819,260,1414,success,2024-02-12
820,855,1403,success,2024-01-05
821,826,2800,success,2024-02-09
822,1988,3211,success,2024-02-17
823,1678,5480,success,2024-01-06
824,1530,4319,failed,2024-02-07
825,1272,4843,failed,2024-01-07
